"","x"
"1288",81.5
"1289",81.9
"1290",81
"1291",81.3
"1292",80.6
"1293",80.2
"1294",79.3
"1295",79.2
"1296",79.2
"1297",79
"1298",78.8
"1299",78.8
"1300",78.4
"1301",78.6
"1302",78.6
"1303",78.1
"1304",78.1
"1305",78.3
"1306",78.4
"1307",80.1
"1308",79.9
"1309",80.1
"1310",81.5
"1311",80.8
"1312",81.7
"1313",82.4
"1314",82.4
"1315",82.6
"1316",81.9
"1317",80.8
"1318",79.5
"1319",79.2
"1320",79
"1321",77.7
"1322",77.9
"1323",77.4
"1324",76.6
"1325",76.8
"1326",76.5
"1327",76.3
"1328",76.3
"1329",77.7
"1330",79
"1331",80.1
"1332",80.6
"1333",81.3
"1334",81.7
"1335",81.9
"1336",81.9
"1337",81.5
"1338",82.2
"1339",81.7
"1340",81.1
"1341",80.8
"1342",79.9
"1343",79.3
"1344",78.8
"1345",78.6
"1346",78.8
"1347",79
"1348",79
"1349",78.6
"1350",78.4
"1351",78.4
"1352",77.5
"1353",77
"1354",78.8
"1355",79.3
"1356",80.2
"1357",81.3
"1358",82.2
"1359",82.2
"1360",82.6
"1361",82.4
"1362",82.6
"1363",82.2
"1364",82
"1365",81
"1366",80.1
"1367",79.7
"1368",79.9
"1369",79.7
"1370",79.9
"1371",79
"1372",79.5
"1373",79.3
"1374",79.2
"1375",79
"1376",79
"1377",78.3
"1378",79
"1379",79.7
"1380",80.8
"1381",81.7
"1382",82.4
"1383",82.8
"1384",82.9
"1385",83.3
"1386",82.9
"1387",82.4
"1388",82.2
"1389",81.5
"1390",80.6
"1391",80.8
"1392",80.2
"1393",80.1
"1394",79.7
"1395",79.5
"1396",79.3
"1397",79.2
"1398",79.2
"1399",79.2
"1400",79
"1401",79.3
"1402",79.9
"1403",81.3
"1404",82.6
"1405",81.7
"1406",83.3
"1407",83.1
"1408",83.5
"1409",83.3
"1410",84.7
"1411",83.7
"1412",82.4
"1413",81
"1414",80.6
"1415",80.4
"1416",80.2
"1417",79.9
"1418",80.1
"1419",79.9
"1420",79.7
"1421",79.5
"1422",79.5
"1423",79.3
"1424",79.3
"1425",79.3
"1426",80.8
"1427",81
"1428",82
"1429",82.4
"1430",83.1
"1431",83.1
"1432",82.8
"1433",82.9
"1434",82.2
"1435",81.9
"1436",81
"1437",80.2
"1438",80.1
"1439",79.9
"1440",79.7
"1441",79.9
"1442",79.5
"1443",79.3
"1444",79.3
"1445",79.3
"1446",79.2
"1447",79.2
"1448",80.1
"1449",80.6
"1450",81
"1451",81.9
"1452",82.2
"1453",82.9
"1454",83.1
"1455",82
"1456",82.2
"1457",82
"1458",81.3
"1459",80.4
"1460",80.2
"1461",80.1
"1462",80.1
"1463",79.5
"1464",79.9
"1465",79.3
"1466",79.5
"1467",79.5
"1468",79.5
"1469",79.3
"1470",79
"1471",79
"1472",79.9
"1473",80.4
"1474",80.6
"1475",81.3
"1476",81.1
"1477",81.5
"1478",82
"1479",83.1
"1480",83.8
"1481",84
"1482",82.4
"1483",81.5
"1484",80.4
"1485",80.4
"1486",80.4
"1487",79.7
"1488",79.3
"1489",79
"1490",78.8
"1491",79
"1492",79
"1493",78.6
"1494",78.8
"1495",79
"1496",79.3
"1497",80.4
"1498",81.5
"1499",82.8
"1500",83.1
"1501",82.9
"1502",82.8
"1503",82.4
"1504",82.6
"1505",81.5
"1506",80.6
"1507",80.1
"1508",79.2
"1509",79.3
"1510",79
"1511",79.7
"1512",78.8
"1513",77.9
"1514",77.4
"1515",77.7
"1516",78.4
"1517",78.8
"1518",77.9
"1519",77.4
"1520",79.3
"1521",76.6
"1522",80.2
"1523",80.8
"1524",82.4
"1525",82.2
"1526",82.4
"1527",81.3
"1528",81.7
"1529",81
"1530",80.4
"1531",79.7
"1532",79.2
"1533",79.3
"1534",79.5
"1535",79.3
"1536",78.4
"1537",78.1
"1538",79
"1539",77.9
"1540",78.8
"1541",77.2
"1542",73.9
"1543",79.5
"1544",80.4
"1545",81.5
"1546",81.9
"1547",82.9
"1548",82.8
"1549",83.1
"1550",82.6
"1551",82.8
"1552",82.2
"1553",81.1
"1554",80.4
"1555",80.2
"1556",80.1
"1557",80.1
"1558",79.9
"1559",79
"1560",78.8
"1561",78.6
"1562",78.6
"1563",78.4
"1564",78.6
"1565",78.6
"1566",79.3
"1567",81.3
"1568",81.5
"1569",81.5
"1570",81.9
"1571",82.4
"1572",82.4
"1573",82.6
"1574",82.9
"1575",81.9
"1576",81
"1577",80.1
"1578",79
"1579",79.5
"1580",78.8
"1581",78.1
"1582",78.8
"1583",78.6
"1584",77.5
"1585",77.4
"1586",77.9
"1587",77
"1588",75.7
"1589",76.6
"1590",79
"1591",76.8
"1592",74.7
"1593",76.3
"1594",76.6
"1595",73.2
"1596",73.6
"1597",78.6
"1598",79
"1599",78.1
"1600",76.5
"1601",76.3
"1602",76.5
"1603",76.8
"1604",77
"1605",76.8
"1606",76.6
"1607",78.1
"1608",77.5
"1609",76.5
"1610",77.4
"1611",79.5
"1612",77.9
"1613",78.4
"1614",80.2
"1615",78.4
"1616",77.7
"1617",78.8
"1618",80.2
"1619",80.4
"1620",79
"1621",79.2
"1622",79.3
"1623",79.2
"1624",78.6
"1625",77.9
"1626",77.7
"1627",78.1
"1628",77.5
"1629",77
"1630",77.7
"1631",77.5
"1632",77.4
"1633",79.3
"1634",80.4
"1635",80.8
"1636",81.3
"1637",81.7
"1638",82.4
"1639",82.9
"1640",82.4
"1641",82.4
"1642",82
"1643",81
"1644",80.8
"1645",80.1
"1646",79.2
"1647",79
"1648",78.3
"1649",78.6
"1650",78.3
"1651",78.1
"1652",77.7
"1653",78.1
"1654",77.7
"1655",77.5
"1656",79.2
"1657",80.2
"1658",81.5
"1659",82.2
"1660",82.2
"1661",82
"1662",81.3
"1663",82.4
"1664",83.3
"1665",82.2
"1666",80.6
"1667",79.7
"1668",79.3
"1669",79.2
"1670",79
"1671",78.6
"1672",78.8
"1673",78.6
"1674",78.6
"1675",78.4
"1676",78.3
"1677",78.1
"1678",79.5
"1679",80.6
"1680",81.9
"1681",81.7
"1682",83.3
"1683",82.6
"1684",82
"1685",80.6
"1686",80.6
